2016-08-23 12:18:49,759 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B package
2016-08-23 12:19:24,633 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\pc\rt\workspace\Servlet
2016-08-23 12:19:24,633 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2016-08-23 12:19:27,943 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:19:27,943 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 12:19:27,943 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:19:27,943 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\pc\rt\workspace\Servlet\src\test\resources
2016-08-23 12:19:40,403 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-08-23 12:19:40,450 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\pc\rt\workspace\Servlet
2016-08-23 12:19:40,450 [Worker-28] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B package
2016-08-23 12:20:33,178 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:20:33,178 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 12:20:33,178 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:20:33,178 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\pc\rt\workspace\Servlet\src\test\resources
2016-08-23 12:29:46,828 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:29:46,844 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 12:29:46,844 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:29:46,844 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\pc\rt\workspace\Servlet\src\test\resources
2016-08-23 12:29:55,990 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:29:56,005 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 12:29:56,005 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:29:56,005 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\pc\rt\workspace\Servlet\src\test\resources
2016-08-23 12:30:14,028 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 12:30:14,028 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 12:30:14,028 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
